Jop title,Company name,Location,Skills,links
Business Development Specialist,Unimix Egypt for Readymix concrete,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Business Analysis · Analysis · Data Analysis · Computer Science · Information Technology (IT) · Analytical · Business · Business Administration · Economics · Engineering,https://wuzzuf.net/jobs/p/b8AZftlnCywR-Business-Development-Specialist-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=34&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Al Nayrouz Exhibitions,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 7 Yrs of Exp · Accounting · Finance · Financial Management · Financial Analysis · Bookkeeping · Commerce · Collection · Microsoft Office · Billing · Debt Collection,https://wuzzuf.net/jobs/p/tGxY3QpqOgkG-Accountant-Al-Nayrouz-Exhibitions-Cairo-Egypt?o=35&l=sp&t=sj&a=data analysis|search-v3|hpb
Financial Analyst,Saint-Gobain,"New Cairo, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Financial · Financial Analysis · Accounting · Analysis · Commerce · Finance · Statistical Analysis · Data Gathering · Microsoft Excel · Microsoft Office,https://wuzzuf.net/jobs/p/F6v9pAsNcxo3-Financial-Analyst-Saint-Gobain-Cairo-Egypt?o=36&l=sp&t=sj&a=data analysis|search-v3|hpb
Market Research Analyst - Software Knowledge,IDC,"Cairo, Egypt ",Full timeExperienced · 4 - 8 Yrs of Exp · Data Analysis · Market Research · Research · Writing · Information Technology (IT) · Analyst/Research,https://wuzzuf.net/jobs/p/8rsdpGexA4ap-Market-Research-Analyst---Software-Knowledge-IDC-Cairo-Egypt?o=37&l=sp&t=sj&a=data analysis|search-v3|hpb
Business Analyst,360Imaging,"Dokki, Giza, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Analysis · Analyst · business · Business Analysis · Business Analyst · Information Technology (IT) · Computer Science · Data · Design · Process,https://wuzzuf.net/jobs/p/TGA8zdjJSbYe-Business-Analyst-360Imaging-Giza-Egypt?o=38&l=sp&t=sj&a=data analysis|search-v3|hpb
Accountant,Menard,"Sheraton, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Accounting · Accounts Payable · Financial Analysis · General Accounting · Oracle · Financial Management · Finance · English · Payable · Accounting Software,https://wuzzuf.net/jobs/p/sM6uym0EDbn7-Accountant-Menard-Cairo-Egypt?o=39&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Marketing Executive,Fiord Climate,"Cairo, Egypt ",Work from homeExperienced · 5 - 7 Yrs of Exp · Data Analysis · Content · Digital Marketing · Social Media · Digital · Communication · Marketing · Marketing/PR/Advertising · Media/Journalism/Publishing,https://wuzzuf.net/jobs/p/gdqeP2AFydpF-Senior-Marketing-Executive-Fiord-Climate-Cairo-Egypt?o=40&l=sp&t=sj&a=data analysis|search-v3|hpb
Big Data Engineer - Jumia Food,Jumia,"Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Big Data · Computer Engineering · Java · Hadoop · Linux · C++ · Agile · Python,https://wuzzuf.net/jobs/p/qUbatMoFnAm2-Big-Data-Engineer---Jumia-Food-Jumia-Cairo-Egypt?o=41&l=sp&t=sj&a=data analysis|search-v3|hpb
Social Researcher & Data Analyst,Confidential -,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 6 Yrs of Exp · Analysis · Market Research · Research · social work · ngo · R&D/Science · Analyst/Research,https://wuzzuf.net/jobs/p/DBHRC9VSalY2-Social-Researcher-Data-Analyst-Cairo-Egypt?o=42&l=sp&t=sj&a=data analysis|search-v3|hpb
IT Specialist,Rockal,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Information Technology (IT) · Computer Science · Technical Support · Computer Engineering · Network Administration · Installation · Networking · Technical Analysis · Maintenance · Computer Systems,https://wuzzuf.net/jobs/p/ajnn7Pf5jla9-IT-Specialist-Rockal-Cairo-Egypt?o=43&l=sp&t=sj&a=data analysis|search-v3|hpb
